image,label
nimg/img001-001.png,0
nimg/img001-002.png,0
nimg/img001-003.png,0
nimg/img001-004.png,0
nimg/img001-005.png,0
nimg/img001-006.png,0
nimg/img001-007.png,0
nimg/img001-008.png,0
nimg/img001-009.png,0
nimg/img001-010.png,0
nimg/img001-011.png,0
nimg/img001-012.png,0
nimg/img001-013.png,0
nimg/img001-014.png,0
nimg/img001-015.png,0
nimg/img001-016.png,0
nimg/img001-017.png,0
nimg/img001-018.png,0
nimg/img001-019.png,0
nimg/img001-020.png,0
nimg/img001-021.png,0
nimg/img001-022.png,0
nimg/img001-023.png,0
nimg/img001-024.png,0
nimg/img001-025.png,0
nimg/img001-026.png,0
nimg/img001-027.png,0
nimg/img001-028.png,0
nimg/img001-029.png,0
nimg/img001-030.png,0
nimg/img001-031.png,0
nimg/img001-032.png,0
nimg/img001-033.png,0
nimg/img001-034.png,0
nimg/img001-035.png,0
nimg/img001-036.png,0
nimg/img001-037.png,0
nimg/img001-038.png,0
nimg/img001-039.png,0
nimg/img001-040.png,0
nimg/img001-041.png,0
nimg/img001-042.png,0
nimg/img001-043.png,0
nimg/img001-044.png,0
nimg/img001-045.png,0
nimg/img001-046.png,0
nimg/img001-047.png,0
nimg/img001-048.png,0
nimg/img001-049.png,0
nimg/img001-050.png,0
nimg/img001-051.png,0
nimg/img001-052.png,0
nimg/img001-053.png,0
nimg/img001-054.png,0
nimg/img001-055.png,0
nimg/img002-001.png,1
nimg/img002-002.png,1
nimg/img002-003.png,1
nimg/img002-004.png,1
nimg/img002-005.png,1
nimg/img002-006.png,1
nimg/img002-007.png,1
nimg/img002-008.png,1
nimg/img002-009.png,1
nimg/img002-010.png,1
nimg/img002-011.png,1
nimg/img002-012.png,1
nimg/img002-013.png,1
nimg/img002-014.png,1
nimg/img002-015.png,1
nimg/img002-016.png,1
nimg/img002-017.png,1
nimg/img002-018.png,1
nimg/img002-019.png,1
nimg/img002-020.png,1
nimg/img002-021.png,1
nimg/img002-022.png,1
nimg/img002-023.png,1
nimg/img002-024.png,1
nimg/img002-025.png,1
nimg/img002-026.png,1
nimg/img002-027.png,1
nimg/img002-028.png,1
nimg/img002-029.png,1
nimg/img002-030.png,1
nimg/img002-031.png,1
nimg/img002-032.png,1
nimg/img002-033.png,1
nimg/img002-034.png,1
nimg/img002-035.png,1
nimg/img002-036.png,1
nimg/img002-037.png,1
nimg/img002-038.png,1
nimg/img002-039.png,1
nimg/img002-040.png,1
nimg/img002-041.png,1
nimg/img002-042.png,1
nimg/img002-043.png,1
nimg/img002-044.png,1
nimg/img002-045.png,1
nimg/img002-046.png,1
nimg/img002-047.png,1
nimg/img002-048.png,1
nimg/img002-049.png,1
nimg/img002-050.png,1
nimg/img002-051.png,1
nimg/img002-052.png,1
nimg/img002-053.png,1
nimg/img002-054.png,1
nimg/img002-055.png,1
nimg/img003-001.png,2
nimg/img003-002.png,2
nimg/img003-003.png,2
nimg/img003-004.png,2
nimg/img003-005.png,2
nimg/img003-006.png,2
nimg/img003-007.png,2
nimg/img003-008.png,2
